round 84, feat 44, thresh 0.0830, roundErr 0.5353
round 85, feat 517, thresh 0.0646, roundErr 0.4657
round 86, feat 340, thresh 0.0627, roundErr 0.5343
round 87, feat 401, thresh 0.0656, roundErr 0.4670
round 88, feat 92, thresh 0.1688, roundErr 0.5342
round 89, feat 232, thresh 0.2101, roundErr 0.4677
round 90, feat 295, thresh 0.0000, roundErr 0.5312
round 91, feat 389, thresh 0.0000, roundErr 0.4669
round 92, feat 109, thresh 0.1687, roundErr 0.5337
round 93, feat 451, thresh 0.0740, roundErr 0.4670
round 94, feat 110, thresh 0.0678, roundErr 0.5331
round 95, feat 412, thresh 0.0610, roundErr 0.4674
round 96, feat 262, thresh 0.0000, roundErr 0.5332
round 97, feat 849, thresh 0.0464, roundErr 0.4674
